test_id,thinking_aloud,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,comparative_choice,comparative_explanation
6f427404-e2fa-4878-bf92-69dd854b6d5a,"1:På danske

Observere home screen

Identificere days

Tænker M betyder morning
Kan se glukose level tydeligt
Kan skifte dage, ser tydeligt at der forskellige observationer
Kan se at noget er rødt, tror det er en ""advarsel"" men er ikke helt sikker
Kigger gennem flere dage, ser igen rød. 
20 september registreres som en dag med store udsving
Kender ikke så meget til diabetes, men tror det er det er dårligt med store udsving. 
Tænker at rød betyder dårligt

I week er mornig, afternoon etc. skrevet ud, så det er nemmere at forstå. 
Mener ikke man kan se dagelige udsving på weeks

Går ind på month for at se om det giver mening på dage
Kan se hvide dage, er i tvivl hvide dage er uden data eller noget andet.


Man tror man kan gå frem fra september uden at man kan

Kigger på menu",3,3,3,3,3,3,3,3,Neither is particularly valuable,"KUN FØRSTE THINK ALOUD SPØRGSMÅL KAN BRUGES, FEJL TRYK PÅ SAVE I DENNE TEST.
DE TO NÆSTE SPØRGSMÅL OG LIKERT LIGGER I DEN NÆSTE TEST"
462572ef-af1b-44fa-bc8a-1901e3d494e7,"1:På danske

Observere home screen

Identificere days

Tænker M betyder morning
Kan se glukose level tydeligt
Kan skifte dage, ser tydeligt at der forskellige observationer
Kan se at noget er rødt, tror det er en ""advarsel"" men er ikke helt sikker
Kigger gennem flere dage, ser igen rød. 
20 september registreres som en dag med store udsving
Kender ikke så meget til diabetes, men tror det er det er dårligt med store udsving. 
Tænker at rød betyder dårligt

I week er mornig, afternoon etc. skrevet ud, så det er nemmere at forstå. 
Mener ikke man kan se dagelige udsving på weeks

Går ind på month for at se om det giver mening på dage
Kan se hvide dage, er i tvivl hvide dage er uden data eller noget andet.


Man tror man kan gå frem fra september uden at man kan

Kigger på menu og registrere hvad der ligger her

2. Går ind i uge for at se forskelle
kan fredag d. 20 er høj, tror det næste er næste dag, men kan se det er samme dag ... utydeligt om det er næste dag
kan registrere level drop på hoover function. Er ikke sikker på han læser det rigtigt

Kan se tendes til højere level om morgenen er højere, end aften. Kan ikke se om det er normalt eller ej. 

3. 
august 24, ser ud som om der mangler data
Finder en blå og tænker det er lavt
rød må være høj.
Der er meget rødt, og tænker det er høje værdier.
Finder daily max og daily min knapper
daily min hjælper med at registrere lave værdier, men er i tvivl om ""normal"" er det værdi som man skal have
Det hjælper at trykke på datoer for at finde detaljer. Finder det fint at man kan se detaljer",4,4,3,3,3,4,3,2,Both are equally valuable,"I am interested in both short term insights and long term insights, as I find both important for my health."
2ef6dabc-4469-4e42-968c-14e18d61d69d,"Task 1:

Lookingat days. Home sceen is easy to see, acn read the data well. Can see high and lows. Nurse comments about what might have been going on

Press the days button. Locate the graph. Notice the colors indicate up and downwards trends. 
Color of the days log are different than the graph colors. Notice there red highligted , makes it easy to see extreems. Remarks that the colors are diffetent graph and log

Moving on to look at weeks. Notice red dots for high and lows. Investigate high and lows by looking at time of day indications. Can find the red highlight in the log, that is in ... notice that blue is low in the weeks view. Red would be better as it would be the same in the days and in weeks.

Months. Find you can choose a day. Looking into a ver red colored square. Notice there are very high levels in the log. Is comparing the middle scaler to the graph and the logging. 
Remark that average days is not indicated in the logging window, but only related to the graph. 

Task2: 
Mornings are generel too high, but also weeks where they are normal. 
Evenings are general low. There does not seem to be a pattern between the different time periods. 
It is difficult to know why, but the overview is fine for the whole week.

Task3:
User look at avareage. there seem to be an upwards trend. Average is normal, then up.
Looking at daily max in Month; indication that there are high values in July. July has but some of the highest and some of the lowest, but when using the avrage it even out, it become a false view if that is actually is made of a very high at one time of the day, while it is very low in another. It makes most sense to look at max and min.",4,5,2,4,4,1,4,5,Short-Term Advice (Specific actions to take right now),"Short trem is more valuable because I can easily see what happend during ther day. Long term observation is more difficult, as we can see a trendline of both 1 month and crertainly even longer terms.

In short the colors are consistent. Blue is bad low in the log window.
Average is dangerous as you can't see if this is an equally level due to one very high and one very low observation."
c81703ad-1322-423c-9a45-122e49fd4046,"Task 1:
Everything is very easy to see:
User locate the date easily. The evening is quickly located as most problematic. 
User is trying to tap log screen without getting a result. User find it difficult to understand all buttons are clickable, but finally finds the navigation in the bottom of the screen. User is informed that the app works like the experiment app.
 User press time of day button and gets a little stuck in the navigation flow. The time of day buttons are examine.

Task 2:
It is smart that bars in weeks are the same as the observations. It is easy to see in weeks that it mornings and afternoons this week that have fluctuation.It is also easy to see it is low in the evening. User observe the numbers looks like it could be not so good to go to bed with this level, and you would need sweets next to the bed.

Task 3:
User register some days have very high levels because of the colors. It looks like they are too high. It is a very good plot overview. User click a day and see more information pops up. It is observed that eventhough the color is very red, there are very  low observations on the same day. This seems misinformative. User find the line on the leveler is the same as the time of day in the log screen very useful. The user again express confusion about the red color while observing low observation in the leveler. 

OBS: The user never finds the Daily max/Min and is now informed about the possibility to click them

User finds the average useful. The daily max and min can be useful for planning measurement.",5,5,4,5,3,4,5,4,Short-Term Advice (Specific actions to take right now),"I csan plan my exercise better and my food intake. I am also more aware of how my late evening observation are, so I am worrying about low level during the night."
